Signup Information,Family Type,Stage of Child,Profile DOB,Gender,Gender Pronouns,About You,Your Kids,Age Range For Playdates,Personality,Activities,Playdate Cost Range,Days of Week For Play,How Far Are You Willing To Travel,Play Date Needs,Personalities ,Activities,,,,,,,,,,
,,,,,,,,,Caregiver,,,,,,,,,,,,,,,,,
Name,Mom & Dad,Newborn (0-2 Months),Date,Male,He/Him/His,Bio,Nickname,"0-1 year,Infants",Introverted,Outdoor Activities,Free,Monday,0-5,Accessible Location,Responsible,Visual Arts,,,,,,,,,,
Phone,Co - Parenting Family,Infant (2 - 12 Months),Month,Female,She/Her/Hers,,Avatar or Image Upload,"1-3 years,Toddlers",Extroverted,Creative Activities,$1 - $5,Tuesday,5-10,Wheelchair Accessible,Analytical,Creative Arts,,,,,,,,,,
Email,Single Parent Family,Toddler (1-3 Years),Year,Non-Binary,They/Them/Theirs,,DOB - MM/YY,"3-5 years,Preschoolers",Optimistic,Educational,$6 - $15,Wenesday,15-15,Engaging Activities,Reserved,Dance/Motion Arts,,,,,,,,,,
PW,Adoptive Family,Preschooler (3-5 Years),,Genderqueer,Ze/Hir/Hirs,,Gender,"5-8 years,Early Childhood",Pessimistic,Indoor Games,$16 - $30,Thursday,15-20,Supplies Provided,Action-oriented,Music,,,,,,,,,,
Gender,Grandparent Family,Early Childhood (5-8 Years Old),,Agender,Ze/Zir/Zirs,,Grade,"8-12 years,Middle Childhood",Ambitious,Physical Activities,$31 - $50,Friday,25-30,Safety Measures,Logical,Physical Activities,,,,,,,,,,
Pronouns,Blended Family,Middle Childhood (8-12 Years Old),,Bigender,Xe/Xem/Xyrs,,,"10-12 years,Tweens",Creative,Social Activities,$51 - 75,Saturday,,Refreshments Prepared,Spontaneous,Sports,,,,,,,,,,
,Foster Family,Adolescence (12-18 Years Old),,Genderfluid,Ey/Em/Eirs,,,Select Age,Empathetic,Quiet Time,$100+,Sunday,,Clear Communication,Outgoing,STEAM,,,,,,,,,,
,Transitional Family,,,Demiboy,Per/Per/Pers,,,,Analytical,Playground,,,,Comfort Prioritized,Curious,Storytelling,,,,,,,,,,
,Extended Family,,,Demigirl,Fae/Faer/Faers,,,,Organized,Sports,,,,Inclusive Accessibility,Systematic,Reading/Writing,,,,,,,,,,
,Same Sex Family,,,Androgynous,Ve/Ver/Vers,,,,Spontaneous,Sensory,,,,Health Considerations,Considerate,Roleplay,,,,,,,,,,
,,,,Intersex,,,,,Assertive,Inclusive Play,,,,Transportation Arranged,Responsible,Acting,,,,,,,,,,
,,,,Neutrois,,,,,Calm,Museums,,,,Sensory Friendly Activities,Flexible,Puzzles,,,,,,,,,,
,,,,Pangender,,,,,Adventurous,,,,,Quiet Space,Sensitive,DIY,,,,,,,,,,
,,,,Polygender,,,,,Loyal,,,,,Soft Lighting,Future Thinker,Intellectual Activities,,,,,,,,,,
,,,,Gender Non-Conforming,,,,,Curious,,,,,Sensory Play Zones,Gentle,Movies,,,,,,,,,,
,,,,Genderflux,,,,,Patient,,,,,Adaptive Playground,Playful,Food/Cooking,,,,,,,,,,
,,,,,,,,,Confident,,,,,Calming Enviroment,Friendly,Nature,,,,,,,,,,
,,,,,,,,,Independent,,,,,Indoor,Tactful,Insects,,,,,,,,,,
,,,,,,,,,Detail-Oriented,,,,,Outdoor,Organized,Gardening,,,,,,,,,,
,,,,,,,,,Humble,,,,,Public Park,Creative,Sensory,,,,,,,,,,
,,,,,,,,,,,,,,Food Allergy,Caring,Space,,,,,,,,,,
,,,,,,,,,Child,,,,,,Loyal,Fashion,,,,,,,,,,
,,,,,,,,,,,,,,,Builder,Quiet,,,,,,,,,,
,,,,,,,,,Curious,,,,,,Visionary,Architecture,,,,,,,,,,
,,,,,,,,,Playful,,,,,,Community-oriented,,,,,,,,,,,
,,,,,,,,,Imaginative,,,,,,Individualistic,,,,,,,,,,,
,,,,,,,,,Energetic,,,,,,Ambitious,,,,,,,,,,,
,,,,,,,,,Inquisitive,,,,,,Efficient,,,,,,,,,,,
,,,,,,,,,Sensitive,,,,,,Unorganized,,,,,,,,,,,
,,,,,,,,,Adventurous,,,,,,Impulsive,,,,,,,,,,,
,,,,,,,,,Social,,,,,,Indecisive,,,,,,,,,,,
,,,,,,,,,Shy,,,,,,Forgetful,,,,,,,,,,,
,,,,,,,,,Empathetic,,,,,,Inflexible,,,,,,,,,,,
,,,,,,,,,Creative,,,,,,Fast Thinker,,,,,,,,,,,
,,,,,,,,,Independent,,,,,,Logical Thinker,,,,,,,,,,,
,,,,,,,,,Caring,,,,,,,,,,,,,,,,,
,,,,,,,,,Observant,,,,,,,,,,,,,,,,,
,,,,,,,,,Confident,,,,,,,,,,,,,,,,,
,,,,,,,,,Determined,,,,,,,,,,,,,,,,,
,,,,,,,,,Cooperative,,,,,,,,,,,,,,,,,
,,,,,,,,,Silly,,,,,,,,,,,,,,,,,
,,,,,,,,,Cautious,,,,,,,,,,,,,,,,,
,,,,,,,,,Helpful,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Family,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Supportive,,,,,,,,,,,,,,,,,
,,,,,,,,,Close-Knit,,,,,,,,,,,,,,,,,
,,,,,,,,,Traditional,,,,,,,,,,,,,,,,,
,,,,,,,,,Adventurous,,,,,,,,,,,,,,,,,
,,,,,,,,,Open-Minded,,,,,,,,,,,,,,,,,
,,,,,,,,,Fun-Loving,,,,,,,,,,,,,,,,,
,,,,,,,,,Strict,,,,,,,,,,,,,,,,,
,,,,,,,,,Laid-Back,,,,,,,,,,,,,,,,,
,,,,,,,,,Creative,,,,,,,,,,,,,,,,,
,,,,,,,,,Athletic,,,,,,,,,,,,,,,,,
,,,,,,,,,Intellectual,,,,,,,,,,,,,,,,,
,,,,,,,,,Spiritual,,,,,,,,,,,,,,,,,
,,,,,,,,,Charitable,,,,,,,,,,,,,,,,,
,,,,,,,,,Independent,,,,,,,,,,,,,,,,,
,,,,,,,,,Nurturing,,,,,,,,,,,,,,,,,
,,,,,,,,,Organized,,,,,,,,,,,,,,,,,
,,,,,,,,,Cultural,,,,,,,,,,,,,,,,,
,,,,,,,,,Outdoorsy,,,,,,,,,,,,,,,,,
,,,,,,,,,Social,,,,,,,,,,,,,,,,,
,,,,,,,,,Resilient,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
